pageno	times	org1	pdept	bgtyy	org	item	srcid	workid	obj	seq	sexual	sextitle	sexamt	sexlamt	stdcd	una1	cqty1	una2	cqty2	una3	cqty3	una4	cqty4	pqty	prc	preamt	amt	lawamt	lamt	amt1	amt2	note	udept	ocd1	ocd2	mcd	acd	kort	eno	pmnote	bystd	statcd	bybase	newitem	sno	hticode	pticode	mticode	sysdat	usno
1-1-23	0	01101		101	01101	1	110101002		0221	001			0	0		月	12		0		0		0		200000	2400000	2400000	2400000	2400000	0	0	議長特別費。									0	274	122	0	0012				1000517	BGT
1-1-23	0	01101		101	01101	1	110101002		0221	002			0	0		月	12		0		0		0		140000	1680000	1680000	1680000	1680000	0	0	副議長特別費。									0	274	122	0	0013				1000517	BGT
1-1-23	0	01101		101	01101	1	110101002		0221	003			0	0		月	12		0		0		0		53000	636000	636000	636000	636000	0	0	祕書長特別費。									0	274	122	0	0014				1000517	BGT
1-1-23	0	01101		101	01101	1	110101002		0221	004			0	0		月	12		0		0		0		26000	312000	312000	312000	312000	0	0	副祕書長特別費。									0	274	122	0	0015				1000517	BGT
2-1-48	0	02101		101	02101	1	120201002		0221	001			0	0		月	12		0		0		0		200000	2400000	2400000	2400000	2400000	0	0	市長特別費。									0	274	122	0	0014				1000324	BGT
2-1-48	0	02101		101	02101	1	120201002		0221	002			0	0		人	3	月	12		0		0	3.00×12.00	100000	2400000	3600000	3600000	2400000	0	0	副市長特別費。									0	274	122	0	0015				1000728	BGT
2-1-48	0	02101		101	02101	1	120201002		0221	003			0	0		月	12		0		0		0		53000	636000	636000	636000	636000	0	0	秘書長特別費。									0	274	122	0	0016				1000324	BGT
2-1-49	0	02101		101	02101	1	120201002		0221	004			0	0		人	3	月	12		0		0	3.00×12.00	26000	624000	936000	936000	624000	0	0	副秘書長特別費。									0	274	122	0	0017				1000728	BGT
2-2-31	0	02102		101	02102	1	120101002		0221	001			0	0		人	1	月	12		0		0		17000	204000	204000	204000	204000	0	0	主任特別費。									0	274	122	0	0035				1000216	BGT
2-3-26	0	02103		101	02103	1	120101002		0221	001			0	0		月	12		0		0		0		53000	636000	636000	636000	636000	0	0	處長特別費。									0	274	122	0	0053				1000505	BGT
2-3-26	0	02103		101	02103	1	120101002		0221	002			0	0		人	2	月	12		0		0		26000	624000	624000	624000	624000	0	0	副處長特別費。									0	274	122	0	0054				1000505	BGT
2-4-19	0	02104		101	02104	1	120101002		0221	001			0	0		月	12		0		0		0		53000	636000	636000	636000	636000	0	0	處長特別費。									0	274	122	0	0054				1000407	BGT
2-4-19	0	02104		101	02104	1	120101002		0221	002			0	0		月	12		0		0		0		26000	312000	312000	312000	312000	0	0	副處長特別費。									0	274	122	0	0055				1000407	BGT
2-5-20	0	02105		101	02105	1	120101002		0221	001			0	0		月	12		0		0		0		53000	636000	636000	636000	636000	0	0	處長特別費。									0	274	122	0	0035				1000331	BGT
2-5-20	0	02105		101	02105	1	120101002		0221	002			0	0		月	12		0		0		0		26000	312000	312000	312000	312000	0	0	副處長特別費。									0	274	122	0	0036				1000331	BGT
2-6-27	0	02106		101	02106	1	210101002		0221	001			0	0		人	1	月	12		0		0		53000	636000	636000	636000	636000	0	0	處長特別費。									0	274	122	0	0047				1000422	BGT
2-6-27	0	02106		101	02106	1	210101002		0221	002			0	0		人	1	月	12		0		0		26000	312000	312000	312000	312000	0	0	副處長特別費。									0	274	122	0	0048				1000422	BGT
2-7-29	0	02107		101	02107	1	120101002		0221	001			0	0		月	12		0		0		0		53000	636000	636000	636000	636000	0	0	處長特別費。									0	274	122	0	0044				1000505	BGT
2-7-29	0	02107		101	02107	1	120101002		0221	002			0	0		月	12		0		0		0		26000	312000	312000	312000	312000	0	0	副處長特別費。									0	274	122	0	0045				1000505	BGT
2-8-24	0	02108		101	02108	1	120101002		0221	001			0	0		人	1	月	12		0		0		53000	636000	636000	636000	636000	0	0	主任委員特別費。									0	274	122	0	0041				1000323	BGT
2-8-24	0	02108		101	02108	1	120101002		0221	002			0	0		人	1	月	12		0		0		26000	312000	312000	312000	312000	0	0	副主任委員特別費。									0	274	122	0	0042				1000323	BGT
2-9-18	0	02109		101	02109	1	120101002		0221	001			0	0		月	12		0		0		0		53000	636000	636000	636000	636000	0	0	主任委員特別費。									0	274	122	0	0038				1000329	BGT
2-9-19	0	02109		101	02109	1	120101002		0221	002			0	0		月	12		0		0		0		26000	312000	312000	312000	312000	0	0	副主任委員特別費。									0	274	122	0	0039				1000329	BGT
2-10-29	0	02110		101	02110	1	120101002		0221	001			0	0		月	12		0		0		0	12.00	53000	636000	636000	636000	636000	0	0	主任委員特別費。									0	274	122	0	0049				1000517	BGT
2-10-29	0	02110		101	02110	1	120101002		0221	002			0	0		月	12		0		0		0		26000	312000	312000	312000	312000	0	0	副主任委員特別費。									0	274	122	0	0050				1000510	BGT
