pageno	times	org1	pdept	bgtyy	org	item	srcid	workid	obj	seq	sexual	sextitle	sexamt	sexlamt	stdcd	una1	cqty1	una2	cqty2	una3	cqty3	una4	cqty4	pqty	prc	preamt	amt	lawamt	lamt	amt1	amt2	note	udept	ocd1	ocd2	mcd	acd	kort	eno	pmnote	bystd	statcd	bybase	newitem	sno	hticode	pticode	mticode	sysdat	usno
1-1-47	0	01101		101	01101	1	110202006		0204	001			0	0		月	12		0		0		0	12.00	72280	867360	867360	867360	867360	0	0	政府網際服務網固接專線費。									0	207	122	0	0037				1000520	BGT
2-7-48	0	02107		101	02107	1	120204002		0204	001			0	0		年	1		0		0		0	1.00	17000000	17000000	17000000	17000000	15500000	0	0	資訊軟體材料費。								依實際需要核實增列。	0	207	310	0	0010				1000505	BGT
2-8-54	0	02108		101	02108	1	120701002		0204	002			0	0	0307	年	1		0		0		0	1.00	1347216	1347216	1347216	1347216	1459484	0	0	電腦耗材。									0	207	310	0	0013				1000429	BGT
2-9-17	0	02109		101	02109	1	120101002		0204	002			0	0		年	1		0		0		0		3000	3000	3000	3000	3000	0	0	電腦及周邊設備用碳粉等相關耗材。									0	207	310	1	0017				1000329	BGT
2-10-27	0	02110		101	02110	1	120101002		0204	001			0	0	0319	組	3	年	1		0		0	3.00×1.00	3000	9000	9000	9000	9000	0	0	電腦設備耗材。									1	207	310	0	0021				1000823	BGT
2-15-28	0	02122		101	02122	1	130101002		0204	002			0	0		年	1		0		0		0	1.00	9000	9000	9000	9000	0	0	0	電腦用碳粉等相關耗材。								增列正副首長及主任秘書筆記型電腦上網無線寬頻。	0	207	310	1	0023	0	0	0	1000822	BGT
2-24-29	0	02131		101	02131	1	130101002		0204	002			0	0	0306	年	1		0		0		0	1.00	7731	7731	7731	7731	7879	0	0	電腦耗材。									0	207	310	0	0022				1000503	BGT
3-1-50	0	03101		101	03101	1	130101006		0204	001			0	0		年	1		0		0		0	1.00	1310000	1310000	1310000	1310000	1289091	0	0	電腦相關設備耗材。								配合內政部第三代戶役政資訊系統，2條網路專線速率提升為FTTB專線(本局及大安戶所主機點)月租費增加。	0	207	310	0	0096				1000310	BGT
3-3-65	0	03103		101	03103	1	220301005		0204	001			0	0		年	1		0		0		0		24000	24000	24000	24000	24000	0	0	電腦耗材。　　									0	207	310	0	0044				1000505	BGT
3-4-35	0	03111		101	03111	1	133202002		0204	004			0	0		年	1		0		0		0		6580	6580	6580	6580	6580	0	0	電腦耗材。									0	207	310	0	0015				1000411	BGT
