pageno	times	org1	pdept	bgtyy	org	item	srcid	obj	seq	acod	sdate	edate	una1	cqty1	una2	cqty2	una3	cqty3	una4	cqty4	pqty	prc	preamt	amt	lawamt	note	icd	udept	acd	kort	sysdat	usno
2-2-22	0	02102		101	02102	1	060103		002	依據臺北市市有公用房地提供使用行政契約書辦理	1010101	1011231	月	12		0		0		0	12	24496	293952	293952	293952	臺北郵局第49支局使用本大樓房屋，每月使用費：計算公式：(評定現值*建物使用面積(m2)*10%) / 樓地板面積(m2) / 12¶(1,794,884,600*322*10%/196,615.5)/12=24,496 元。					1000307	
2-14-20	0	02121		101	02121	1	040203		002	依據行政程序法及臺北市政府及所屬各機關學校處理閱卷作業要點辦理	1010101	1011231	年	1		0		0		0	1	180	180	180	180	行政程序當事人或利害關係人申請抄寫、複印或攝影有關資料或卷宗材料費收入。					0010/20	
2-16-18	0	02123		101	02123	1	040202		004	依臺北市政府財政局77.7.5府財一字第228028號函辦理。	1010101	1011231	月	12		0		0		0	12	22000	264000	264000	264000	便民車位停車費收入。					0010/07	
2-16-18	0	02123		101	02123	1	040202		005	依據臺北市各區行政中心禮堂場地使用管理辦法規定辦理。	1010101	1011231	次	18		0		0		0	18	8725	157050	157050	157050	行政中心10樓集會堂場地出借費收入。					0010/07	
2-16-21	0	02123		101	02123	1	040203		002	依據行政程序法暨臺北市政府及所屬各機關學校處理閱卷作業要點	1010101	1011231	張	50		0		0		0	50	3	150	150	150	受理申請複印材料費(A3格式)。					0010/07	
2-16-21	0	02123		101	02123	1	040203		003	依據行政程序法暨臺北市政府及所屬各機關學校處理閱卷作業要點	1010101	1011231	張	50		0		0		0	50	2	100	100	100	受理申請複印材料費(A4格式)。					0010/07	
3-1-39	0	03101		101	03101	1	060201		001	臺北市市有財產報廢處理規定。	1010101	1011231	年	1		0		0		0	1	10000	10000	10000	10000	出售報廢財產及物品等殘值收入。					0010/16	
3-1-33	0	03101		101	03101	1	040203		003	行政程序法第46條暨臺北市政府及所屬各機關學校處理閱卷作業要點。	1010101	1011231	張	1500		0		0		0	1500	2	3000	3000	3000	受理閱卷影印材料費收入。					0010/16	
3-1-31	0	03101		101	03101	1	040202		017	臺北市非政府組織會館使用管理辦法。	1010101	1011231	場次	20	月	12		0		0	20x12	1300	312000	312000	312000	臺北市非政府組織會館場地使用費收入。					1000308	
3-1-33	0	03101		101	03101	1	040203		004	臺北市門牌位置數值資料提供使用辦法。	1010101	1011231	行政區	6		0		0		0	6	5900	35400	35400	35400	臺北市門牌位置數值資料使用費收入。					0010/16	
3-1-41	0	03101		101	03101	1	100202		001	規費法及政府採購法。	1010101	1011231	年	1		0		0		0	1	10000	10000	10000	10000	工程圖說工本費收入。					0010/16	
3-1-41	0	03101		101	03101	1	100202		002	臺北市政府所屬各機關政府出版品管理要點。	1010101	1011231	幅	25		0		0		0	25	120	3000	3000	3000	全市圖出售收入。					0010/16	
3-1-41	0	03101		101	03101	1	100202		003	臺北市政府所屬各機關政府出版品管理要點。	1010101	1011231	幅	150		0		0		0	150	80	12000	12000	12000	各區圖出售收入。					0010/16	
3-1-26	0	03101		101	03101	1	030101		001	依據民法第33條第1項及臺北市政府民政局處理宗教（祠）財團法人違反民法第33條第1項案件統一裁罰基準。	1010101	1011231	年	1		0		0		0	1	25000	0	25000	25000	受設立許可法人之董事或監察人，不遵民政局監督之命令者或妨礙民政局檢查者罰鍰收入。					1000705	BGT
3-2-10	0	03102		101	03102	1	040202		002	臺北市市有公用房地提供使用辦法。	1010101	1011231	月	12		0		0		0	12	20300	243600	243600	243600	明倫堂1樓設置紀念品設計販賣部租金收入。					0010/18	
3-3-24	0	03103		101	03103	1	030301		001	依據政府採購法及相關法令辦理。	1010101	1011231	年	1		0		0		0	1	30000	30000	30000	30000	辦理採購事項廠商違約罰款賠償收入。					0010/15	
3-3-35	0	03103		101	03103	1	060102		001	依據臺北市政府加強清理及處理被占用市產計畫辦理。	1010101	1011231	年	1		0		0		0	1	574936	574936	574936	574936	違建戶占用市有地租金及無權占用使用補償金收入（依占用筆數、面積及公告地價計收）。					0010/15	
3-3-39	0	03103		101	03103	1	060201		001	依據臺北市市有財產報廢處理規定辦理。	1010101	1011231	年	1		0		0		0	1	20000	10000	20000	20000	出售報廢財產及物品等殘值收入。					1000706	
3-3-27	0	03103		101	03103	1	040202		001	依據行政院頒定全國軍公教員工待遇支給要點第4點規定辦理。	1010101	1011231	人	2	月	12		0		0	2x12	400	9600	9600	9600	技工配住公有房舍扣繳房租津貼收入。					0010/15	
3-3-27	0	03103		101	03103	1	040202		002	依據臺北市殯葬管理處各項服務收費標準表辦理。	1010101	1011231	具	19600	天	15		0		0	19600x15	400	115884000	117600000	117600000	遺體冷藏、保管收入。					1000706	
3-3-27	0	03103		101	03103	1	040202		003	依據臺北市殯葬管理處各項服務收費標準表辦理。	1010101	1011231	時	4300		0		0		0	4300	1800	8379000	7740000	7740000	甲級禮堂使用費收入。					1000706	
3-3-27	0	03103		101	03103	1	040202		004	依據臺北市殯葬管理處各項服務收費標準表辦理。	1010101	1011231	時	16700		0		0		0	16700	750	13275000	12525000	12525000	乙級禮堂使用費收入。					1000706	
3-3-27	0	03103		101	03103	1	040202		005	依據臺北市殯葬管理處各項服務收費標準表辦理。	1010101	1011231	時	24000		0		0		0	24000	600	14700000	14400000	14400000	丙級禮堂使用費收入。					1000706	
2-14-16	0	02121		101	02121	1	040202		001	依據臺北市政府所屬各機關學校職務及單身宿舍設置管理要點規定辦理	1010101	1011231	年	1		0		0		0	1	17652	17652	17652	17652	1.配住公有眷舍，扣繳房租津貼收入(薦¶  任1人，職工1人)：¶  (600元*1人+400元*1人)*12月=12,000¶   元。¶2.宿舍使用費計算方式：¶  (使用面積*單價*年代折扣)*月¶  =(21.41平方公尺*50元*0.44)*12月¶  =5,652元。					1000401	
