pageno	times	org1	pdept	bgtyy	org	item	srcid	workid	obj	seq	sexual	sextitle	sexamt	sexlamt	stdcd	una1	cqty1	una2	cqty2	una3	cqty3	una4	cqty4	pqty	prc	preamt	amt	lawamt	lamt	amt1	amt2	note	udept	ocd1	ocd2	mcd	acd	kort	eno	pmnote	bystd	statcd	bybase	newitem	sno	hticode	pticode	mticode	sysdat	usno
2-1-7	1	02101		100	02101	1	120101002		0107	001			0	0	1901	人	-7	月	5	段	1		0	-7.00×5.00×1.00	630	0	-22050	-22050	0	0	0	員工上下班交通費。									1	125	113	0	0001				1000707	BGT
2-1-7	1	02101		100	02101	1	120101002		0107	002			0	0	1901	人	-6	月	5	段	2		0	-6.00×5.00×2.00	630	0	-37800	-37800	0	0	0	員工上下班交通費。									1	125	113	0	0002	0	0	0	1000707	BGT
2-1-7	1	02101		100	02101	1	120101002		0107	003			0	0	1901	人	-7	月	5	段	3		0	-7.00×5.00×3.00	630	0	-66150	-66150	0	0	0	員工上下班交通費。									1	125	113	0	0003	0	0	0	1000707	BGT
2-1-7	1	02101		100	02101	1	120101002		0201	001			0	0	1601	人	-8	月	5		0		0	-8.00×5.00	445	0	-17800	-17800	0	0	0	職員8人，按每人每月445元編列。									1	201	122	0	0004	0	0	0	1000707	BGT
2-1-7	1	02101		100	02101	1	120101002		0201	002			0	0	1602	人	-12	月	5		0		0	-12.00×5.00	160	0	-9600	-9600	0	0	0	約聘僱12人，按每人每月160元編列。									1	201	122	0	0005	0	0	0	1000707	BGT
2-1-7	1	02101		100	02101	1	120101007		0219	001			0	0	2203	人	-20	年	1		0		0	-20.00×1.00	1210	0	-24200	-24200	0	0	0	文康活動費。									1	257	122	0	0006				1000707	BGT
2-1-9	1	02101		100	02101	1	130401001		0102	001			0	0		年	1		0		0		0		-2911178	0	-2911178	-2911178	0	0	0	職員-8人人事費(詳人事費分析表)。										104	113		0001	1				
2-1-9	1	02101		100	02101	1	130401001		0103	001			0	0		年	1		0		0		0		-2921184	0	-2921184	-2921184	0	0	0	聘用-12人人事費(詳聘僱人員薪津及保險費彙計表)。										109	113		0002		1			
2-1-9	1	02101		100	02101	1	130401001		0109	001			0	0		年	1		0		0		0		-229164	0	-229164	-229164	0	0	0	職員退休離職儲金(詳人事費分析表)。										134	113		0003	1				
2-1-9	1	02101		100	02101	1	130401001		0109	002			0	0		年	1		0		0		0		-155792	0	-155792	-155792	0	0	0	約聘僱退離職儲金(詳聘僱人員薪津及保險費彙計表)。										137	113		0004		1			
2-1-9	1	02101		100	02101	1	130401001		0110	001			0	0		年	1		0		0		0		-136583	0	-136583	-136583	0	0	0	職員(工)健保費(詳人事費分析表)。										139	113		0005	1				
2-1-9	1	02101		100	02101	1	130401001		0110	002			0	0		年	1		0		0		0		-68255	0	-68255	-68255	0	0	0	職員公保費(詳人事費分析表)。										142	113		0006	1				
2-1-9	1	02101		100	02101	1	130401001		0110	003			0	0		年	1		0		0		0		-113040	0	-113040	-113040	0	0	0	約聘僱勞保費(詳聘僱人員薪津及保險費彙計表)。										144	113		0007		1			
2-1-9	1	02101		100	02101	1	130401001		0110	004			0	0		年	1		0		0		0		-136928	0	-136928	-136928	0	0	0	約聘僱健保費(詳聘僱人員薪津及保險費彙計表)。										139	113		0008		1			
2-1-10	1	02101		100	02101	1	130401002		0108	001			0	0		小時	-900		0		0		0	-900.00	185	0	-166500	-166500	0	0	0	進駐本市災害應變中心加班費。									0	130	111	0	0009				1000705	BGT
2-1-10	1	02101		100	02101	1	130401002		0113	001			0	0	1704	人	1	日	-108		0		0	1.00×-108.00	300	0	-32400	-32400	0	0	0	24小時值班費(平日)。									1	151	112	0	0010	0	0	0	1000705	BGT
2-1-10	1	02101		100	02101	1	130401002		0113	002			0	0	1705	人	1	日	-43		0		0	1.00×-43.00	500	0	-21500	-21500	0	0	0	24小時值班費(假日)。									1	151	112	0	0011	0	0	0	1000705	BGT
2-1-10	1	02101		100	02101	1	130401002		0211	001			0	0		人	24	次	-10		0		0	24.00×-10.00	80	0	-19200	-19200	0	0	0	中央災害防救工作訪評、本府自行評量及相關訪談工作人員誤餐費。									0	231	380	0	0012	0	0	0	1000705	BGT
2-1-10	1	02101		100	02101	1	130401002		0213	001			0	0	1102	人	22	月	-5		0		0	22.00×-5.00	3000	0	-330000	-330000	0	0	0	臺北市政府災害防救專家諮詢委員會全體委員兼職費。									1	235	380	0	0013	0	0	0	1000718	BGT
