org1	pdept	bgtyy	org	item	srcid	workid	workna	workbr	pworkid	plancd	chap	chappna	chapnote	sysdat	usno
07103		101	07103	2	337104001	101	道路管理資訊系統開發建置	道路管理資訊系統開發建置					市政白皮書	1000411	BGT
07102		101	07102	2	317602001	007	小型碼頭改建工程	小型碼頭改建工程	052					1000406	BGT
07102		101	07102	2	317602001	008	救難碼頭周邊航道疏浚及設施檢修工程	救難碼頭周邊航道疏浚及設施檢修工程	053					1000406	BGT
07102		101	07102	2	317602001	009	大坑溪(南港橋至基隆河匯流口)整治工程依法院判決應給付款項	大坑溪(南港橋至基隆河匯流口)整治工程依法	054					1000406	BGT
07102		101	07102	2	317605001	031	三張犁截水溝(鐵路至堤防段)加蓋工程	三張犁截水溝(鐵路至堤防段)加蓋工程	011					1000406	BGT
07102		101	07102	2	317605001	032	大龍、忠孝抽水站排水系統改善工程	大龍、忠孝抽水站排水系統改善工程	012					1000406	BGT
07102		101	07102	2	317605001	033	士林區永公路245巷34弄排水幹線工程	士林區永公路245巷34弄排水幹線工程	013					1000406	BGT
07102		101	07102	2	317605001	034	大湖公園沉砂池新建工程	大湖公園沉砂池新建工程	014					1000406	BGT
07102		101	07102	2	317602002	001	本市抽水站等相關建築物耐震能力評估工作	本市抽水站等相關建築物耐震能力評估工作	018					1000406	BGT
07102		101	07102	2	317602002	022	基隆河南湖大橋上游新設跨河自行車橋可行性評估工作	基隆河南湖大橋上游新設跨河自行車橋可行性	014					1000808	BGT
07102		101	07102	2	317605002	056	信義水森坡地區設置調洪沉砂池可行性評估及規劃	信義水森坡地區設置調洪沉砂池可行性評估及	007	1				1001228	BGT
07102		101	07102	2	317602002	023	雙溪(劍南橋至望星橋)河道整治規劃工作	雙溪(劍南橋至望星橋)河道整治規劃工作	010	1				1000513	BGT
07102		101	07102	2	317102002	001	雨水下水道機械清掃孔調升降工程	雨水下水道機械清掃孔調升降工程						1000808	BGT
07102		101	07102	2	317102002	008	忠順市場大樓退縮空地內人行道翻修工程分攤款	忠順市場大樓退縮空地內人行道翻修工程分攤						1000502	BGT
07102		101	07102	2	317102002	009	中正區行政中心行政大樓空調設備汰換工程分攤款	中正區行政中心行政大樓空調設備汰換工程分						1000502	BGT
07102		101	07102	2	317605002	057	臺北市雨水下水道耐震及液化委託評估工作	臺北市雨水下水道耐震及液化委託評估工作	011					1001228	BGT
07102		101	07102	2	317605001	A01	總工程費明細如下：	總工程費明細如下：	007					1000802	BGT
07102		101	07102	2	317605002	058	關渡平原未來開發之先期規劃	關渡平原未來開發之先期規劃	009	1				1001228	BGT
07102		101	07102	2	317605001	A02	總工程費明細如下：	總工程費明細如下：	009					1000802	BGT
07102		101	07102	2	317605002	A01	總計畫費明細如下：	總計畫費明細如下：	002					1001226	BGT
07102		101	07102	2	317605002	A02	總規劃費明細如下：	總規劃費明細如下：	004					1000802	BGT
07102		101	07102	2	317605002	A03	總規劃費明細如下：	總規劃費明細如下：	006					1000802	BGT
