bgtyy	org	orgna	orgbr	morg	chief	accer	ktporg	src0	src13	u_no	orgtp	orggrd	borg	sbgna	sborg	byy	peyy	bdate	aeym	note	engid	sysdat	usno
100	08106	臺北市汽車駕駛訓練中心	汽車駕駛訓練中心	08	林文淵　	江美玉	0808106	33	007	17005		2										0980428	BGT
100	08107	臺北市車輛行車事故鑑定委員會	車輛行車事故鑑定委員會	08	詹政良	蔡欣諭	0808107	33	008	17006		2										0980427	BGT
100	09191	臺北市立廣慈博愛院	廣慈博愛院	09	蘇耀燦　	余淑芬	0909191	43	018			2										0960727	BGT
100	09105	臺北市殯葬管理處	殯葬管理處	09	杜英輝	湯紹濱　	0909105	40	005			2										0980508	BGT
100	09192	臺北市立古亭托兒所	市立古亭托兒所	09	劉惜餘	李媛媛	0909192	43	019			2										0960726	BGT
100	12002	臺北市政府地政處測量大隊	地政處測量大隊	19	潘燕鏜　	陳春滿	1912002	13				2										0960801	BGT
100	12003	臺北市土地重劃大隊	土地重劃大隊	19	陳錫禎	余偉伶	1912003	13				2										0960801	BGT
100	15002	臺北市軍人公墓管理所	軍人公墓管理所	20	朱亞虎	王碧珠		43	002			2										0990622	BGT
100	15001	臺北市政府兵役處	兵役處	20	朱亞虎	王碧珠	2015001	13	000			2										0990622	BGT
100	20191	臺北市軍人公墓管理所	軍人公墓管理所	20	朱亞虎	王碧珠		43	002			2										0990622	BGT
100	09000	臺北市政府社會局主管	社會局主管	09	江綺雯	李如欣		43	000			1										1000608	BGT
100	09101	臺北市政府社會局	社會局	09	江綺雯　	李如欣　	0909101	43	001			2										1000601	BGT
100	09102	臺北市立陽明教養院	陽明教養院	09	孫麗珠　	叢  森　	0808003	43	002			2										0970314	BGT
100	09103	臺北市立浩然敬老院	浩然敬老院	09	張婌文	陳金定	0909103	43	003			2										0991203	BGT
100	09117	臺北市立萬華托兒所	市立萬華托兒所	09	林明君	許寶文	0909117	43	011	08022		2										0991116	BGT
100	09116	臺北市立大同托兒所	市立大同托兒所	09	高麗束	許寶文	0909116	43	010			2										0991116	BGT
100	09115	臺北市立中正托兒所	市立中正托兒所	09	婁淑惠	蕭芬蘭	0909115	43	009			2										0990611	BGT
100	09119	臺北市立南港托兒所	市立南港托兒所	09	劉香蘭　	徐玉珍	0909119	43	013			2										0980810	BGT
100	09118	臺北市立文山托兒所	市立文山托兒所	09	蘇信如　	蕭芬蘭	0909118	43	012	09118		2										0990611	BGT
100	09121	臺北市立士林托兒所	市立士林托兒所	09	江美蓮	何青萍	0909121	43	015			2										0990611	BGT
100	09111	臺北市立松山托兒所	市立松山托兒所	09	洪玉來	洪蔚文	0808032	43	005			2										0980810	BGT
100	09112	臺北市立信義托兒所	市立信義托兒所	09	劉惜餘	徐玉珍	0909112	43	006			2										0980810	BGT
100	09113	臺北市立大安托兒所	市立大安托兒所	09	郭美玉　	何青萍　	0909113	43	007			2										0990610	BGT
100	09120	臺北市立內湖托兒所	市立內湖托兒所	09	陳貞朱	洪蔚文	0909120	43	014	09111		2										0991025	BGT
100	09122	臺北市立北投托兒所	市立北投托兒所	09	劉美玲	蕭美蓮	0909122	43	016			2										0980810	BGT
100	09114	臺北市立中山托兒所	市立中山托兒所	09	王韻華　	蕭美蓮　	0909114	43	008			2										0980810	BGT
100	09104	臺北市家庭暴力暨性侵害防治中心	家庭暴力暨性侵害防治中心	09	張美美	洪三富	0909104	13	004			2										1000822	BGT
100	10000	臺北市政府勞工局主管	勞工局主管	10	陳業鑫	王秋斐			000			1										0991026	BGT
100	10101	臺北市政府勞工局	勞工局	10	陳業鑫	王秋斐　	1010101	43	001			2										0991026	BGT
100	10102	臺北市政府勞工局就業服務處	就業服務處	10	徐玉雪	張芳菁		44	002			2										1000505	BGT
100	10103	臺北市政府勞工局職業訓練中心	職業訓練中心	10	徐卿廉	林佳欣		14	003			2										0991022	BGT
100	10104	臺北市政府勞工局勞工教育中心	勞工教育中心	10	高俊儀　	陳淑惠		43	004	10104		2	10104									0991124	BGT
100	10105	臺北市政府勞工局勞動檢查處	勞動檢查處	10	許明倫	陳淑惠	1010105	43	005	10105		2	10105									0991124	BGT
100	11000	臺北市政府警察局主管	警察局主管	11	黃昇勇	蔡鳳珠		71	000			1	11101									1000315	BGT
100	11101	臺北市政府警察局	警察局	11	黃昇勇	蔡鳳珠　		71	001			3										1000315	BGT
100	04191	臺北市集中支付處	集中支付處	04	紀聰吉	劉家瑜		14	003			2										0950523	BGT
100	05231	臺北市立五常國民中學	市立五常國民中學	05	　　　　	　　　　		21	231		54	2											
100	05407	臺北市松山區健康國民小學	市立健康國民小學	05	　　　　	　　　　		21	407		55	2											
100	05408	臺北市松山區敦化國民小學	市立敦化國民小學	05	　　　　	　　　　		21	408		55	2											
100	05421	臺北市信義區三興國民小學	市立三興國民小學	05	　　　　	　　　　		21	421		55	2											
100	05422	臺北市信義區永吉國民小學	市立永吉國民小學	05	　　　　	　　　　		21	422		55	2											
100	05423	臺北市信義區永春國民小學	市立永春國民小學	05	　　　　	　　　　		21	423		55	2											
100	05424	臺北市信義區光復國民小學	市立光復國民小學	05	　　　　	　　　　		21	424		55	2											
100	05425	臺北市信義區吳興國民小學	市立吳興國民小學	05	　　　　	　　　　		21	425		55	2											
