keyid	keyna	bgtyy	bkind	bgtstat
0001	統籌業務費	101	2	L
0002	特別費	101	2	L
0003	車輛油料費	101	2	L
0004	文康活動費	101	2	L
0005	加班費	101	2	L
0006	值班費	101	2	L
0007	員工上下班交通費	101	2	L
0008	影印機使用費	101	2	L
0009	國外旅費	101	2	L
0010	套裝軟體	101	2	L
0011	電腦訓練費	101	2	L
0012	電腦耗材	101	2	L
0013	電腦設備及軟硬體維護費	101	2	L
0014	電腦專線通訊費	101	2	L
0015	資訊服務費	101	2	L
0016	個人電腦	101	2	L
0017	周邊設備及零組件	101	2	L
0018	伺服器	101	2	L
0019	電腦圖書費	101	2	L
0020	其他資訊計畫經費-資本門	101	2	L
0021	其他資訊計畫經費-經常門	101	2	L
0022	汰換車輛設備	101	2	L
0023	新購車輛設備	101	2	L
0024	研究計畫	101	2	L
0025	出版品計畫	101	2	L
0026	志工服務計畫	101	2	L
0027	災害防救計畫-經常門	101	2	L
0028	災害防救計畫-資本門	101	2	L
0029	活動費	101	2	L
