pageno	times	org1	pdept	bgtyy	org	item	srcid	workid	obj	seq	sexual	sextitle	sexamt	sexlamt	stdcd	una1	cqty1	una2	cqty2	una3	cqty3	una4	cqty4	pqty	prc	preamt	amt	lawamt	lamt	amt1	amt2	note	udept	ocd1	ocd2	mcd	acd	kort	eno	pmnote	bystd	statcd	bybase	newitem	sno	hticode	pticode	mticode	scode	sysdat	usno
1-1-25	0	01101		102	01101	1	110101002		0221	001			0	0		月	12		0		0		0	12.00	200000	2400000	2400000	2400000	2400000	0	0	議長特別費。									0	274	122	0	0012				0002	1010828	BGT
1-1-25	0	01101		102	01101	1	110101002		0221	002			0	0		月	12		0		0		0	12.00	140000	1680000	1680000	1680000	1680000	0	0	副議長特別費。									0	274	122	0	0013				0002	1010828	BGT
1-1-25	0	01101		102	01101	1	110101002		0221	003			0	0		月	12		0		0		0	12.00	53000	636000	636000	636000	636000	0	0	祕書長特別費。									0	274	122	0	0014				0002	1010828	BGT
1-1-25	0	01101		102	01101	1	110101002		0221	004			0	0		月	12		0		0		0	12.00	26000	312000	312000	312000	312000	0	0	副祕書長特別費。									0	274	122	0	0015				0002	1010828	BGT
2-1-49	0	02101		102	02101	1	120201002		0221	001			0	0		月	12		0		0		0	12.00	200000	2400000	2400000	2400000	2400000	0	0	市長特別費。									0	274	122	0	0014				0002	1010427	BGT
2-1-49	0	02101		102	02101	1	120201002		0221	002			0	0		人	3	月	12		0		0	3.00×12.00	100000	3600000	3600000	3600000	3600000	0	0	副市長特別費。									0	274	122	0	0015				0002	1010328	BGT
2-1-49	0	02101		102	02101	1	120201002		0221	003			0	0		月	12		0		0		0	12.00	53000	636000	636000	636000	636000	0	0	秘書長特別費。									0	274	122	0	0016				0002	1010328	BGT
2-1-50	0	02101		102	02101	1	120201002		0221	004			0	0		人	3	月	12		0		0	3.00×12.00	26000	936000	936000	936000	936000	0	0	副秘書長特別費。									0	274	122	0	0017				0002	1010328	BGT
2-2-31	0	02102		102	02102	1	120101002		0221	001			0	0		人	1	月	12		0		0	1.00×12.00	17000	204000	204000	204000	204000	0	0	主任特別費。									0	274	122	0	0035				0002	1010327	BGT
2-3-26	0	02103		102	02103	1	120101002		0221	001			0	0		月	12		0		0		0	12.00	53000	636000	636000	636000	636000	0	0	處長特別費。									0	274	122	0	0055				0002	1020220	BGT
2-3-26	0	02103		102	02103	1	120101002		0221	002			0	0		人	2	月	12		0		0	2.00×12.00	26000	624000	624000	624000	624000	0	0	副處長特別費。									0	274	122	0	0056				0002	1020220	BGT
2-4-21	0	02104		102	02104	1	120101002		0221	001			0	0		月	12		0		0		0	12.00	53000	636000	636000	636000	636000	0	0	處長特別費。									0	274	122	0	0046				0002	1010330	BGT
2-4-21	0	02104		102	02104	1	120101002		0221	002			0	0		月	12		0		0		0	12.00	26000	312000	312000	312000	312000	0	0	副處長特別費。									0	274	122	0	0047				0002	1010330	BGT
2-5-18	0	02105		102	02105	1	120101002		0221	001			0	0		月	12		0		0		0	12.00	53000	636000	636000	636000	636000	0	0	處長特別費。									0	274	122	0	0037				0002	1010328	BGT
2-5-18	0	02105		102	02105	1	120101002		0221	002			0	0		月	12		0		0		0	12.00	26000	312000	312000	312000	312000	0	0	副處長特別費。									0	274	122	0	0038				0002	1010328	BGT
2-6-27	0	02106		102	02106	1	210101002		0221	001			0	0		人	1	月	12		0		0	1.00×12.00	53000	636000	636000	636000	636000	0	0	處長特別費。									0	274	122	0	0046				0002	1010828	BGT
2-6-27	0	02106		102	02106	1	210101002		0221	002			0	0		人	1	月	12		0		0	1.00×12.00	26000	312000	312000	312000	312000	0	0	副處長特別費。									0	274	122	0	0047				0002	1010828	BGT
2-7-24	0	02108		102	02108	1	120101002		0221	001			0	0		人	1	月	12		0		0	1.00×12.00	53000	636000	636000	636000	636000	0	0	主任委員特別費。									0	274	122	0	0041				0002	1010328	BGT
2-7-24	0	02108		102	02108	1	120101002		0221	002			0	0		人	1	月	12		0		0	1.00×12.00	26000	312000	312000	312000	312000	0	0	副主任委員特別費。									0	274	122	0	0042				0002	1010328	BGT
2-8-14	0	02111		102	02111	1	340101002		0221	001			0	0		月	12		0		0		0	12.00	26000	312000	312000	312000	312000	0	0	執行秘書特別費。									0	274	122	0	0032				0002	1010828	BGT
2-9-29	0	02112		102	02112	1	130101002		0221	001			0	0		月	12		0		0		0	12.00	53000	636000	636000	636000	636000	0	0	主任委員特別費。									0	274	122	0	0030				0002	1010827	BGT
2-10-24	0	02113		102	02113	1	220101002		0221	001			0	0		月	12		0		0		0	12.00	53000	636000	636000	636000	636000	0	0	主任委員特別費。									0	274	122	0	0056				0002	1010827	BGT
2-11-29	0	02121		102	02121	1	130101002		0221	001			0	0		月	12		0		0		0	12.00	26000	312000	312000	312000	312000	0	0	區長特別費。									0	274	122	0	0048				0002	1010814	BGT
2-12-33	0	02122		102	02122	1	130101002		0221	001			0	0		月	12		0		0		0	12.00	26000	312000	312000	312000	312000	0	0	區長特別費。									0	274	122	0	0061				0002	1010814	BGT
2-13-32	0	02123		102	02123	1	130101002		0221	001			0	0		月	12		0		0		0	12.00	26000	312000	312000	312000	312000	0	0	區長特別費。									0	274	122	0	0054				0002	1010813	BGT
2-14-41	0	02124		102	02124	1	130101002		0221	001			0	0		月	12		0		0		0	12.00	26000	312000	312000	312000	312000	0	0	區長特別費。									0	274	122	0	0059				0002	1010405	BGT
2-15-27	0	02125		102	02125	1	130101002		0221	001			0	0		月	12		0		0		0	12.00	26000	312000	312000	312000	312000	0	0	區長特別費。									0	274	122	0	0064				0002	1010814	BGT
2-16-31	0	02126		102	02126	1	130101002		0221	001			0	0		月	12		0		0		0	12.00	26000	312000	312000	312000	312000	0	0	區長特別費。									0	274	122	0	0059				0002	1010814	BGT
2-17-30	0	02127		102	02127	1	130101002		0221	001			0	0		月	12		0		0		0	12.00	26000	312000	312000	312000	312000	0	0	區長特別費。									0	274	122	0	0053				0002	1010814	BGT
2-18-37	0	02128		102	02128	1	130101020		0221	001			0	0		月	12		0		0		0	12.00	26000	312000	312000	312000	312000	0	0	區長特別費。									0	274	122	0	0052				0002	1010814	BGT
2-19-36	0	02129		102	02129	1	130101002		0221	001			0	0		月	12		0		0		0	12.00	26000	312000	312000	312000	312000	0	0	區長特別費。									0	274	122	0	0055				0002	1010427	BGT
