pageno	times	org1	pdept	bgtyy	org	item	srcid	workid	obj	seq	sexual	sextitle	sexamt	sexlamt	stdcd	una1	cqty1	una2	cqty2	una3	cqty3	una4	cqty4	pqty	prc	preamt	amt	lawamt	lamt	amt1	amt2	note	udept	ocd1	ocd2	mcd	acd	kort	eno	pmnote	bystd	statcd	bybase	newitem	sno	hticode	pticode	mticode	scode	sysdat	usno
2-1-71	0	02101		102	02101	2	127104000		0306	003			0	0		年	1		0		0		0	1.00	2400	2400	2400	2400	2400	0	0	電腦圖書費。									0	357	310	1	0003				0019	1010427	BGT
2-3-62	0	02103		102	02103	2	127104000		0307	001			0	0		年	1		0		0		0	1.00	20400	20400	20400	20400	20400	0	0	電腦圖書費。								依基準編列	0	360	310	0	0005				0019	1020220	BGT
2-4-53	0	02104		102	02104	2	127104000		0307	001			0	0		年	1		0		0		0	1.00	24000	24000	24000	24000	24000	0	0	電腦書籍及雜誌等。									0	360	310	0	0006				0019	1010628	BGT
2-5-39	0	02105		102	02105	2	127104000		0307	001			0	0		年	1		0		0		0	1.00	2400	2400	2400	2400	2400	0	0	電腦圖書費。									0	360	310	0	0005				0019	1010813	BGT
2-6-45	0	02106		102	02106	2	217104000		0307	001			0	0		年	1		0		0		0	1.00	4800	4800	4800	4800	4800	0	0	電腦圖書費。									0	360	310	0	0004				0019	1010828	BGT
2-11-52	0	02121		102	02121	2	137104000		0307	001			0	0		年	1		0		0		0	1.00	2400	2400	2400	2400	2400	0	0	電腦圖書費。									0	360	310	0	0005				0019	1010814	BGT
2-12-55	0	02122		102	02122	2	137104000		0307	001			0	0		年	1		0		0		0	1.00	2400	6000	2400	2400	2400	0	0	電腦圖書費。									0	360	310	0	0005				0019	1010814	BGT
2-13-55	0	02123		102	02123	2	137104000		0307	001			0	0		年	1		0		0		0	1.00	2400	2400	2400	2400	2400	0	0	電腦圖書費(電腦專案)。									0	360	310	0	0005				0019	1010503	BGT
2-14-67	0	02124		102	02124	2	137104000		0307	001			0	0		年	1		0		0		0	1.00	2400	2400	2400	2400	2400	0	0	電腦圖書費。									0	360	310	0	0005				0019	1010509	BGT
2-16-54	0	02126		102	02126	2	137104000		0307	001			0	0		年	1		0		0		0	1.00	2400	2400	2400	2400	2400	0	0	電腦圖書費。									0	360	310	0	0005				0019	1010814	BGT
2-17-60	0	02127		102	02127	2	137104000		0307	001			0	0		年	1		0		0		0	1.00	2400	2400	2400	2400	2400	0	0	電腦圖書費。									0	360	310	0	0004				0019	1010814	BGT
2-18-65	0	02128		102	02128	2	137104000		0307	001			0	0		年	1		0		0		0	1.00	2400	2400	2400	2400	2400	0	0	電腦圖書費(電腦專案)。									0	360	310	0	0005				0019	1010814	BGT
2-19-61	0	02129		102	02129	2	137104000		0307	001			0	0		年	1		0		0		0	1.00	4800	4800	4800	4800	4800	0	0	電腦圖書費。									0	360	310	0	0006				0019	1010501	BGT
2-20-59	0	02130		102	02130	2	137104000		0307	001			0	0		年	1		0		0		0	1.00	2400	2400	2400	2400	2400	0	0	電腦圖書費。									0	360	310	0	0004				0019	1010814	BGT
2-21-62	0	02131		102	02131	2	137104000		0307	001			0	0		年	1		0		0		0	1.00	1200	2400	1200	1200	2400	0	0	電腦圖書費。									0	360	310	0	0005				0019	1010814	BGT
2-22-59	0	02132		102	02132	2	137104000		0307	001			0	0		年	1	人	1		0		0	1.00×1.00	2400	2400	2400	2400	2400	0	0	電腦圖書費。									0	360	310	0	0009				0019	1010411	BGT
3-1-110	0	03101		102	03101	2	137104000		0307	001			0	0		年	1		0		0		0	1.00	20400	20400	20400	20400	20400	0	0	電腦圖書費。									0	360	310	0	0008				0019	1010412	BGT
3-3-89	0	03103		102	03103	2	227104000		0307	001			0	0		年	1		0		0		0	1.00	3600	3600	3600	3600	3600	0	0	電腦圖書費。									0	360	310	0	0006				0019	1010813	BGT
4-1-119	0	04101		102	04101	2	140208020		0307	001			0	0		年	1		0		0		0	1.00	24500	24500	24500	24500	25200	0	0	電腦圖書費。									0	360	310	0	0026				0019	1010712	BGT
4-2-96	0	04102		102	04102	2	140205002		0307	002			0	0		年	1		0		0		0	1.00	50400	50400	50400	50400	0	0	0	電腦圖書費。								購買相關電腦資訊書籍以吸收新知，依標準編列，12,000元+32人×1,200元=50,400元	0	360	310	0	0055				0019	1010828	BGT
5-2-114	0	05112		102	05112	2	227104002		0307	001			0	0		年	1		0		0		0	1.00	7500	7500	7500	7500	0	0	0	電腦圖書。									0	360	310	0	0010				0019	1010827	BGT
5-3-133	0	05113		102	05113	2	227104000		0307	001			0	0		年	1		0		0		0	1.00	2400	2400	2400	2400	2400	0	0	電腦期刊、參考資料書籍等（資訊室）。									0	360	310	0	0033				0019	1010828	BGT
5-5-76	0	05115		102	05115	2	227104000		0307	001			0	0	0311	年	1		0		0		0	1.00	1200	1200	1200	1200	1200	0	0	電腦圖書費。								待專案核可	0	360	260	0	0005				0019	1010327	BGT
6-1-139	0	06101		102	06101	2	317104000		0307	001			0	0		年	1		0		0		0	1.00	18000	18000	18000	18000	18000	0	0	電腦圖書費。									0	360	310	0	0004				0019	1010817	BGT
6-2-84	0	06102		102	06102	2	317104002		0307	005			0	0		人	2		0		0		0	2.00	1200	2400	2400	2400	0	0	0	電腦圖書費。									0	360	310	0	0005				0019	1010816	BGT
6-3-62	0	06103		102	06103	2	317104000		0307	001			0	0		年	1		0		0		0	1.00	3600	3600	3600	3600	0	0	0	電腦圖書費。									0	360	310	0	0005				0019	1010814	BGT
6-4-74	0	06104		102	06104	2	347104000		0307	001			0	0		年	1		0		0		0	1.00	16800	16800	16800	16800	16800	0	0	電腦圖書費。									0	360	310	0	0004				0019	1010327	BGT
7-1-61	0	07101		102	07101	2	327104000		0307	001			0	0		年	1		0		0		0	1.00	22800	22800	22800	22800	22800	0	0	電腦圖書費。										360	310	0	0008				0019	1010828	BGT
7-2-90	0	07102		102	07102	2	317104000		0307	001			0	0	0311	年	1		0		0		0	1.00	11154	12000	11154	11154	12000	0	0	電腦圖書費。								核實編列	0	360	310	0	0015				0019	1011212	BGT
7-3-86	0	07103		102	07103	2	337104000		0307	001			0	0		年	1		0		0		0	1.00	15000	21600	15000	15000	21600	0	0	電腦圖書費（分批）。									0	360	310	0	0010				0019	1011230	BGT
7-4-122	0	07104		102	07104	2	517104000		0307	001			0	0		年	1		0		0		0	1.00	15624	16800	15624	15624	6000	0	0	電腦書籍。								12,000+4*1,200	0	360	310	0	0033				0019	1020221	BGT
7-5-108	0	07105		102	07105	2	527104000		0307	001			0	0	0311	年	1		0		0		0	1.00	15600	16800	15600	15600	16800	0	0	電腦圖書費。									0	360	310	0	0006				0019	1010828	BGT
8-1-82	0	08101		102	08101	2	337104000		0307	001			0	0		年	1		0		0		0	1.00	21600	24000	21600	21600	24000	0	0	電腦圖書費。									0	360	310	0	0005				0019	1010718	BGT
8-2-41	0	08103		102	08103	2	337104000		0307	001			0	0		年	1		0		0		0	1.00	3600	15600	3600	3600	15600	0	0	購置電腦圖書費用。								依編列基準編列	0	360	310	1	0003				0019	1010717	BGT
8-3-69	0	08104		102	08104	2	337104000		0307	001			0	0		年	1		0		0		0	1.00	4800	4800	4800	4800	4800	0	0	電腦圖書費。								依編審要點編列(4人*1,200元)	0	360	310	1	0010				0019	1020221	BGT
8-4-114	0	08105		102	08105	2	337104000		0307	001			0	0		年	1		0		0		0	1.00	3600	3600	3600	3600	3600	0	0	電腦圖書費。								依據102年度臺北市地方總預算各機關購置電腦及其相關設備基準審查表編列。	0	360	310	0	0013				0019	1010705	BGT
8-5-64	0	08108		102	08108	2	337104000		0307	001			0	0		年	1		0		0		0	1.00	10000	10000	10000	10000	10000	0	0	電腦圖書費。									0	360	310	0	0007				0019	1010328	BGT
9-1-195	0	09101		102	09101	2	437104000		0307	001			0	0		年	1		0		0		0	1.00	10000	10000	10000	10000	10000	0	0	電腦圖書。									0	360	310	0	0010				0019	1010329	BGT
9-2-47	0	09102		102	09102	2	437104000		0307	001			0	0		年	1		0		0		0	1.00	1200	1200	1200	1200	1200	0	0	電腦圖書。									0	360	310	0	0004				0019	1010813	BGT
9-4-33	0	09104		102	09104	2	437104000		0307	006			0	0		年	1		0		0		0	1.00	1500	1500	1500	1500	0	0	0	電腦圖書。								覈實新增	0	360	310	0	0006	0	0	0	0019	1010330	BGT
