pageno	times	org1	pdept	bgtyy	org	item	srcid	workid	obj	seq	sexual	sextitle	sexamt	sexlamt	stdcd	una1	cqty1	una2	cqty2	una3	cqty3	una4	cqty4	pqty	prc	preamt	amt	lawamt	lamt	amt1	amt2	note	udept	ocd1	ocd2	mcd	acd	kort	eno	pmnote	bystd	statcd	bybase	newitem	sno	hticode	pticode	mticode	scode	sysdat	usno
9-1-31	1	09101		101	09101	1	433902001		0414	002			0	0		年	1		0		0		0	1.00	12650000	0	12650000	12650000	0	0	0	補助中低收入老人裝置假牙實施計畫經費。										440	210	0	0020					1010523	BGT
9-9-14	1	09115		101	09115	1	432701002		0204	001			0	0		件	90		0		0		0	90.00	-5	0	-450	-450	0	0	0	郵票費。									0	208	122	0	0010	0	0	0		1010510	BGT
9-12-10	1	09118		101	09118	1	430101002		0222	001			0	0	2401	棟	1	年	1		0		0	1.00×1.00	-1894	0	-1894	-1894	0	0	0	房屋修繕費(30坪以內)。								依共同編列標準。	0	275	122	0	0020	0	0	0		1010522	BGT
9-15-11	1	09121		101	09121	1	430101003		0220	001			0	0		年	1		0		0		0	1.00	-6040	0	-6040	-6040	14500	0	0	印製會計報表帳冊等。									0	261	122	0	0024	0	0	0		1010512	BGT
9-14-10	1	09120		101	09120	1	430101002		0107	003			0	0	1901	人	10	月	5	段	3		0	10.00×5.00×3.00	-630	0	-94500	-94500	0	0	0	員工上下班交通費。									0	125	113	0	0010	0	0	0		1010528	BGT
12-1-43	1	12101		101	12101	1	453902015		0220	001			0	0		年	1		0		0		0	1.00	750000	0	750000	750000	0	0	0	1.委託專業團體製作居家防護用具之居家安全衛教宣導及資源轉介手冊設計及編印等相關費用。			¶2.委託本市十二區健康服務中心編印事故傷害防制宣導單張、宣導品製作等。									0	272	122	0	0104	0	0	0		1010709	BGT
12-1-43	1	12101		101	12101	1	453902016		0232	001			0	0		年	1		0		0		0	1.00	465788	0	465788	465788	0	0	0	聘用研究助理1人辦理臺北市生育保健措施、學前兒童視力與斜弱視篩檢異常個案追蹤計畫薪資、年終獎金、離職儲金及勞健保費用(296薪點)。									0	292	122	0	0108	0	0	0		1010709	BGT
12-1-44	1	12101		101	12101	1	453902016		0232	002			0	0		小時	50		0		0		0	50.00	185	0	9250	9250	0	0	0	辦理臺北市生育保健措施、學前兒童視力與斜弱視篩檢異常個案追蹤計計畫研究助理加班費。									0	292	122	0	0109	0	0	0		1010604	BGT
12-1-43	1	12101		101	12101	1	453902016		0216	001			0	0		年	1		0		0		0	1.00	580000	0	580000	580000	0	0	0	委託專業諮詢單位辦理「青少年父母生育保健服務計畫」之委辦費。									0	254	122	0	0105	0	0	0		1010709	BGT
12-1-43	1	12101		101	12101	1	453902016		0216	002			0	0		年	1		0		0		0	1.00	213510	0	213510	213510	0	0	0	委託辦理未就學之學齡前兒童整合性社區篩檢(視力、口腔、聽力及身體檢查)費用，每案新臺幣165元。									0	254	122	0	0106	0	0	0		1010530	BGT
12-1-44	1	12101		101	12101	1	453902017		0401	001			0	0		年	1		0		0		0	1.00	75000	0	75000	75000	0	0	0	補助病患於臺北市立萬芳醫院因無力繳納健保費而遭暫行拒絕給付者之健保費用。									0	402	122	0	0111	0	0	0		1010530	BGT
