bgtyy	bkind	keyid	keyna	bgtstat
102	2	0001	統籌業務費	L
102	2	0002	特別費	L
102	2	0003	車輛油料費	L
102	2	0004	文康活動費	L
102	2	0005	加班費	L
102	2	0006	值班費	L
102	2	0007	員工上下班交通費	L
102	2	0008	影印機使用費	L
102	2	0009	國外旅費	L
102	2	0010	套裝軟體	L
102	2	0011	電腦訓練費	L
102	2	0012	電腦耗材	L
102	2	0013	電腦設備及軟硬體維護費	L
102	2	0014	電腦專線通訊費	L
102	2	0015	資訊服務費	L
102	2	0016	個人電腦	L
102	2	0017	周邊設備及零組件	L
102	2	0018	伺服器	L
102	2	0019	電腦圖書費	L
102	2	0020	其他資訊計畫經費-資本門	L
102	2	0021	其他資訊計畫經費-經常門	L
102	2	0022	汰換車輛設備	L
102	2	0023	新購車輛設備	L
102	2	0024	研究計畫	L
102	2	0025	出版品計畫	L
102	2	0026	志工服務計畫	L
102	2	0027	災害防救計畫-經常門	L
102	2	0028	災害防救計畫-資本門	L
102	2	0029	活動費	L
