times	borg	recid	yearno	orgno	itemno	dno	workid	obj	seqno	statcd	workname	budget	lastbudget	unit	quantity	unitprice	price	newitem	pageno	notes	src	bybase
1	02104	7	102	02104	1	123901001		0202	001	203	　　　教育訓練費	9296100	0	人	30	309,870	9296100	0	2-4-7	委託英國倫敦政經學院代訓經費(包含課程設計及規劃費用、翻譯費、巴士接送、營運管理費)、來回機票、日支生活費等。	0200040901	一般
1	02104	12	102	02104	1	123901001		0208	001	220	　　　保險費	29100	0	人	30	970	29100	0	2-4-7	投保新台幣400萬元綜合保險(16日)。	0200040901	一般
1	02104	15	102	02104	1	123901001		0214	001	242	　　　　	0	0	節	8	1,600	12800	0	2-4-7	成果報告審查會等講師鐘點費。	0200040901	一般
1	02104	17	102	02104	1	123901001		0214	002	242	　　　　	0	0	節	3	1,600	4800	0	2-4-7	成果發表會講師鐘點費。	0200040901	一般
1	02104	19	102	02104	1	123901001		0214	003	243	　　　　	0	0	次	1	10,400	10400	0	2-4-7	個人心得評審費。	0200040901	一般
1	02104	21	102	02104	1	123901001		0214	004	240	　　　　	0	0	人次	2	2,000	4000	0	2-4-7	檢討會議出席費。	0200040901	一般
1	02104	24	102	02104	1	123901001		0220	001	261	　　　　	0	0	本	65	70	4550	0	2-4-7	聯絡名冊編印費。	0200040901	一般
1	02104	26	102	02104	1	123901001		0220	002	261	　　　　	0	0	本	50	310	15500	0	2-4-8	出國報告書編印費。	0200040901	一般
1	02104	28	102	02104	1	123901001		0220	003	272	　　　　	0	0	次	1	3,958	3958	0	2-4-8	匯款手續費等相關雜支經費。	0200040901	一般
1	02108	8	102	02108	1	123901001		0216	001	253	　　　委辦費	700000	0	年	1	700,000	700000	0	2-7-7	辦理「臺北市重大施政項目創造就業數之研究」。	0200071001	一般
1	02108	11	102	02108	1	123901001		0220	001	263	　　　一般事務費	2500000	0	式	1	2,500,000	2500000	0	2-7-7	辦理「1999臺北市民當家熱線五週年整合行銷宣傳採購案」。	0200071001	一般
1	02108	20	102	02108	1	123901002		0227	001	285	　　　　	0	0	項	1	3,825,000	3825000	0	2-7-8	辦理2013臺北上海城市論壇、招商活動及餐會、上海市市政建設參訪及交流活動所需相關費用(含議員及府外專家學者)。	0200071001	一般
1	02108	24	102	02108	1	123901002		0227	002	285	　　　　	0	0	項	1	792,000	792000	0	2-7-8	辦理「2013臺北上海城市論壇暨市政參訪活動」考察先遣團費用。	0200071001	一般
1	02112	21	102	02112	1	133902003		0401	001	402	　　　對國內團體之捐助	1336453	0	年	1	1,336,453	1336453	0	2-9-2	補助民間團體辦理原住民家庭暨婦女服務中心業務。	0200090801	一般
1	02112	32	102	02112	1	133902006		0220	001	272	　　　一般事務費	460000	0	年	1	460,000	460000	0	2-9-2	國宅出租業務費及推動原住民社區婦女工作坊費用。	0200090801	一般
