pageno	times	org1	pdept	bgtyy	org	item	srcid	workid	obj	seq	sexual	sextitle	sexamt	sexlamt	stdcd	una1	cqty1	una2	cqty2	una3	cqty3	una4	cqty4	pqty	prc	preamt	amt	lawamt	lamt	amt1	amt2	note	udept	ocd1	ocd2	mcd	acd	kort	eno	pmnote	bystd	statcd	bybase	newitem	sno	hticode	pticode	mticode	scode	man	sysdat	usno
2-4-7	1	02104		102	02104	1	123901001		0202	001			0	0		人	30		0		0		0	30.00	309870	0	9296100	9296100	0	0	0	委託英國倫敦政經學院代訓經費(包含課程設計及規劃費用、翻譯費、巴士接送、營運管理費)、來回機票、日支生活費等。								辦理102年菁英領導班。	0	203	122	0	0001					李崇實	1020628	BGT
2-4-7	1	02104		102	02104	1	123901001		0208	001			0	0		人	30		0		0		0	30.00	970	0	29100	29100	0	0	0	投保新台幣400萬元綜合保險(16日)。								辦理102年菁英領導班。	0	220	122	0	0002	0	0	0		李崇實	1020628	BGT
2-4-7	1	02104		102	02104	1	123901001		0214	001			0	0		節	8		0		0		0	8.00	1600	0	12800	12800	0	0	0	成果報告審查會等講師鐘點費。								辦理102年菁英領導班。	0	242	122	0	0003	0	0	0		李崇實	1020816	BGT
2-4-7	1	02104		102	02104	1	123901001		0214	002			0	0		節	3		0		0		0	3.00	1600	0	4800	4800	0	0	0	成果發表會講師鐘點費。								辦理102年菁英領導班。	0	242	122	0	0004	0	0	0		李崇實	1020628	BGT
2-4-7	1	02104		102	02104	1	123901001		0214	003			0	0		次	1		0		0		0	1.00	10400	0	10400	10400	0	0	0	個人心得評審費。								辦理102年菁英領導班。	0	243	122	0	0005	0	0	0		李崇實	1020628	BGT
2-4-7	1	02104		102	02104	1	123901001		0214	004			0	0		人次	2		0		0		0	2.00	2000	0	4000	4000	0	0	0	檢討會議出席費。								辦理102年菁英領導班。	0	240	122	0	0006	0	0	0		李崇實	1020628	BGT
2-4-7	1	02104		102	02104	1	123901001		0220	001			0	0		本	65		0		0		0	65.00	70	0	4550	4550	0	0	0	聯絡名冊編印費。								辦理102年菁英領導班。	0	261	122	0	0007	0	0	0		李崇實	1020628	BGT
2-4-8	1	02104		102	02104	1	123901001		0220	002			0	0		本	50		0		0		0	50.00	310	0	15500	15500	0	0	0	出國報告書編印費。								辦理102年菁英領導班。	0	261	122	0	0008	0	0	0		李崇實	1020628	BGT
2-4-8	1	02104		102	02104	1	123901001		0220	003			0	0		次	1		0		0		0	1.00	3958	0	3958	3958	0	0	0	匯款手續費等相關雜支經費。								辦理102年菁英領導班。	0	272	122	0	0009	0	0	0		李崇實	1020628	BGT
2-7-7	1	02108		102	02108	1	123901001		0216	001			0	0		年	1		0		0		0	1.00	700000	0	700000	700000	0	0	0	辦理「臺北市重大施政項目創造就業數之研究」。									0	253	122	0	0001	0	0	0	0024	張肇鐘	1020409	BGT
