times	borg	recid	yearno	orgno	itemno	dno	src0	src1	src2	src3	seqno	srcna	inbasis	inperiod	unit	quantity	unitprice	price	pageno	note	src
1	02112	2	103	02112	1	080102	8	1	1	1	001		行政院原住民族委員會102年12月4日原民經字第1020066373號函核定	103.01.01-103.12.31	年	1	1290000	1290000	2-9-11	補助地方政府推展原住民族產業深耕及行銷推廣實施計畫收入。	0800010101
1	02112	6	103	02112	1	080102	8	1	1	1	002		行政院原住民族委員會103年2月26日原民衛字第1030008071號函核定	103.01.01-103.12.31	年	1	734500	734500	2-9-11	家庭暨婦女服務中心實施計畫收入。	0800010101
1	02112	10	103	02112	1	080102	8	1	1	1	003		行政院原住民族委員會103年1月29日原民衛字第1030004100號函核定	103.01.01-103.12.31	年	1	750000	750000	2-9-11	輔助都市原住民承租國宅暨生活品質促進計畫收入。	0800010101
1	02112	14	103	02112	1	080102	8	1	1	1	004		教育部103年4月24日臺教社(一)字第1030057929號函.行政院原住民族委員會103年3月12日原民教字第10300116641	103.01.01-103.12.31	年	1	1800000	1800000	2-9-11	原住民族部落大學實施計畫收入(教育部補助190,000元及行政院原住民族委員會補助1,610,000元)。	0800010101
1	02112	21	103	02112	1	080102	8	1	1	1	005		行政院原住民族委員會103年2月26日原民企字第1030007147號函及103年4月8日原民教字第1030012969號函核定	103.01.01-103.12.31	年	1	7014400	7014400	2-9-11	都市原住民族發展計畫103年度執行計畫收入。	0800010101
1	02112	27	103	02112	1	080102	8	1	1	1	006		行政院原住民族委員會103年3月12日原民衛字第1030012054號函核定	103.01.01-103.12.31	年	1	90000	90000	2-9-11	辦理就業服務相關業務之業務收入。	0800010101
1	02112	31	103	02112	1	080102	8	1	1	1	007		行政院原住民族委員會103年1月28日原民經字第1030003488號函核定	103.01.01-103.12.31	年	1	1150000	1150000	2-9-11	中低收入戶原住民建購、修繕住宅補助計畫暨原住民住宅改善相關業務行政業務費收入。	0800010101
1	02112	35	103	02112	1	080102	8	1	1	1	008		行政院原住民族委員會文化園區管理局103年3月28日原民園展字第1030001419號函核定	103.01.01-103.12.31	年	1	590000	590000	2-9-12	原住民文物(化)館改善計畫收入。	0800010101
1	02121	2	103	02121	1	080102	8	2	1	1	001		依文化部103年2月5日文源字第10330018524號函暨臺北市政府103年3月11日府授都新字第10330197500號函辦理。	103.01.01-103.12.31	年	1	600000	600000	2-11-10	依文化部「直轄市及縣(市)政府推動新故鄉社區營造第二期計畫補助作業要點」。	0800020101
1	03101	2	103	03101	1	080102	8	14	1	1	001		交通部觀光局103.1.22觀旅字第1035000142號函。	103.01.01-103.12.31	式	1	3000000	3000000	3-1-10	交通部觀光局補助辦理「2014臺北燈節」收入。	0800140101
