pageno	times	org1	pdept	bgtyy	org	item	srcid	workid	obj	seq	sexual	sextitle	sexamt	sexlamt	stdcd	una1	cqty1	una2	cqty2	una3	cqty3	una4	cqty4	pqty	prc	preamt	amt	lawamt	lamt	amt1	amt2	note	udept	ocd1	ocd2	mcd	acd	kort	eno	pmnote	bystd	statcd	bybase	newitem	sno	hticode	pticode	mticode	scode	man	sysdat	usno
2-1-52	0	02101		105	02101	1	120301002		0208	001			0	0		人	83		0		0		0		120	9960	9960	9960	9960	0	0	志工保險費。									0	222	350	0	0007				0026	高雅雯	1040326	BGT
2-1-52	0	02101		105	02101	1	120301002		0214	005			0	0	1101	人次	5220		0		0		0		110	574200	574200	574200	574200	0	0	志工餐點及交通補貼。									1	248	350	0	0012				0026	高雅雯	1040326	BGT
2-1-53	0	02101		105	02101	1	120301002		0215	005			0	0		人	83		0		0		0	83.00	200	16600	16600	0	0	0	0	志工背心（新增）。								依規定每2年編列，覈實增列。	0	250	350	1	0017				0026	高雅雯	1040424	BGT
2-2-34	0	02102		105	02102	1	120201002		0208	002			0	0		人	2		0		0		0	2.00	120	240	240	0	240	0	0	志工保險費。									0	222	350	0	0013	0	0	0		李柏（王晉）	1040514	BGT
2-2-35	0	02102		105	02102	1	120201002		0214	001			0	0		人次	82		0		0		0	82.00	110	9020	9020	0	9900	0	0	志工餐點及交通補助。								覈實減列。	0	248	350	0	0015	0	0	0		李柏（王晉）	1040514	BGT
2-5-33	0	02105		105	02105	1	120401007		0208	001			0	0		人	75	年	1		0		0	75.00×1.00	120	9000	9000	10200	10200	0	0	志工投保意外險之保險費。									0	222	350	0	0018				0026	李昱輝	1040420	BGT
2-5-33	0	02105		105	02105	1	120401007		0214	002			0	0	1101	人次	1440		0		0		0	1440.00	110	158400	158400	178200	178200	0	0	志工餐點及交通補助。									1	248	350	0	0020				0026	李昱輝	1040420	BGT
2-5-34	0	02105		105	02105	1	120401007		0220	007			0	0		件	75		0		0		0	75.00	200	15000	15000	0	0	0	0	志工背心（新增）。									0	270	350	1	0028	0	0	0		李昱輝	1040420	BGT
2-6-38	0	02106		105	02106	1	212601004		0208	001			0	0		人	3		0		0		0	3.00	120	1200	360	240	240	0	0	志工保險費。								依業務需要覈實增列	0	222	350	0	0055				0026	黃鳳娥	1040723	BGT
2-6-38	0	02106		105	02106	1	212601004		0214	001			0	0	1101	人次	156		0		0		0	156.00	110	114400	17160	22000	22000	0	0	志工餐點及交通補助。								依業務需要覈實增列	1	248	350	0	0059				0026	黃鳳娥	1040723	BGT
2-9-51	0	02112		105	02112	1	130301006		0208	001			0	0		人	55		0		0		0	55.00	120	6600	6600	6600	6600	0	0	志工保險費。								無增減。	0	222	350	0	0057					陳誼誠	1040509	BGT
2-9-51	0	02112		105	02112	1	130301006		0214	001			0	0	1101	人次	2572		0		0		0	2572.00	110	282920	282920	282920	282920	0	0	志工導覽解說餐點及交通補助。								無增減。	1	248	350	0	0059					陳誠誼	1040509	BGT
2-9-62	0	02112		105	02112	1	130501002		0208	001			0	0		人	8		0		0		0	8.00	120	960	960	960	960	0	0	志工保險費。								無增減。	0	222	350	0	0007					易君強	1040507	BGT
2-9-62	0	02112		105	02112	1	130501002		0214	003			0	0	1101	人次	1788		0		0		0	1788.00	110	196680	196680	196680	196680	0	0	志工導覽解說餐點及交通補助。									1	248	350	0	0012					易君強	1040507	BGT
2-10-31	0	02113		105	02113	1	220201002		0208	001			0	0		人	165	年	1		0		0	165.00×1.00	120	19800	19800	19800	19800	0	0	志工意外保險費。									0	222	350	0	0011					張鳳嬌	1040424	BGT
2-10-32	0	02113		105	02113	1	220201002		0214	005			0	0	1101	人次	6308		0		0		0	6308.00	110	693880	693880	693880	693880	0	0	志工餐點及交通補助。									1	248	350	0	0018					張鳳嬌	1040424	BGT
2-10-33	0	02113		105	02113	1	220201002		0220	005			0	0		人	165		0		0		0	165.00	600	99000	99000	99000	99000	0	0	志工訓練。									0	272	350	0	0026					張鳳嬌	1040424	BGT
2-10-33	0	02113		105	02113	1	220201002		0220	007			0	0		次	4		0		0		0	4.00	5250	21000	21000	21000	21000	0	0	志工活動。									0	273	350	0	0028					張鳳嬌	1040424	BGT
