pageno	times	org1	pdept	bgtyy	org	item	srcid	obj	seq	acod	sdate	edate	una1	cqty1	una2	cqty2	una3	cqty3	una4	cqty4	pqty	prc	preamt	amt	lawamt	note	icd	udept	acd	kort	man	sysdat	usno
9-1-27	1	09101		104	09101	1	080102		013	依據衛生福利部社會及家庭署103.10.23社家老字第1030017572號函及104.2.6社家老字第1040800085號函辦理。	1040101	1041231	年	1		0		0		0	1	254660626	0	254660626	0	衛生福利部社會及家庭署補助辦理長期照顧整合第二期計畫之補助收入(含103年度增撥13,375,000元及104年度241,285,626元)。					邱盈綺	1040521	BGT
9-1-29	1	09101		104	09101	1	080102		028	依據中央對直轄市及縣(市)政府補助辦法暨衛生福利部103.12.23衛部護字第1031461527號函辦理。	1040101	1041231	年	1		0		0		0	1	517000	0	517000	0	衛生福利部社會及家庭署社會福利基金之¶公益彩券回饋金補助建構性騷擾防治服務系統競爭型計畫之補助收入。					鄭宇寰	1040522	BGT
12-1-18	1	12101		104	12101	1	080102		003	衛生福利部國民健康署103年12月18日國健教字第10307016421號函、104年5月25日國健企字第1041400512號函辦理	1040101	1041231	年	1		0		0		0	1	19030000	0	19030000	0	衛生福利部國民健康署「菸害防制及衛生保健基金」補助104年度臺北市菸害防制工作計畫收入。						1040617	BGT
22-1-16	1	22101		104	22101	1	080102		001	教育部體育署103年12月2日臺教體署競（一)字第1030036603號函核定補助。	1040101	1041231	式	1		0		0		0	1	3217100	0	3217100	0	教育部體育署補助辦理103年度運動選手輔導照顧實施計畫。					黃旭平	1040608	BGT
9-1-25	1	09101		104	09101	1	080102		001	依據中央對直轄市及縣(市)政府補助辦法暨衛生福利部104.3.20衛部救字第1041360671號函辦理。	1040101	1041231	年	1		0		0		0	1	83837000	0	83837000	0	衛生福利部補助辦理低收入戶家庭生活、¶就學生活補助之補助收入。					蕭如妃	1040527	BGT
9-1-25	1	09101		104	09101	1	080102		002	依據中央對直轄市及縣(市)政府補助辦法暨衛生福利部104.3.20衛部救字第1041360671號函辦理。	1040101	1041231	年	1		0		0		0	1	1813000	0	1813000	0	衛生福利部補助辦理低收入戶及中低收入¶戶醫療補助及住院看護補助之補助收入。					賴美蒨	1040522	BGT
9-1-26	1	09101		104	09101	1	080102		007	依據中央對直轄市及縣(市)政府補助辦法暨衛生福利部社會及家庭署104.4.20社家老字第1040800329號函辦理。	1040101	1041231	年	1		0		0		0	1	22000000	0	22000000	0	衛生福利部社會及家庭署補助辦理中低收¶入老人生活津貼補助之補助收入。					蕭如妃	1040522	BGT
9-1-25	1	09101		104	09101	1	080102		006	依據中央對直轄市及縣(市)政府補助辦法暨衛生福利部社會及家庭署104.6.4社家障字第1040700596號函辦理。	1040101	1041231	年	1		0		0		0	1	68000000	0	68000000	0	衛生福利部社會及家庭署補助辦理身心障¶礙者生活補助之補助收入。					蕭如妃	1040703	BGT
9-1-25	1	09101		104	09101	1	080102		003	依據中央對直轄市及縣(市)政府補助辦法暨衛生福利部104.5.6衛部救字第1041361072號函辦理。	1040101	1041231	年	1		0		0		0	1	170000	0	170000	0	衛生福利部補助辦理低收入戶健保病患住院膳食費補助之補助收入。					賴美蒨	1040525	BGT
9-1-29	1	09101		104	09101	1	080102		027	依據中央對直轄市及縣(市)政府補助辦法暨衛生福利部社會及家庭署104.6.25社家老字第1040800553號函辦理。	1040101	1041231	年	1		0		0		0	1	259000	0	259000	0	衛生福利部社會及家庭署社會福利基金之¶公益彩券回饋金補助辦理多元照顧中心(小規模多機能)服務計畫之補助收入。					謝佩芳	1040715	BGT
