borg	bgtyy	srcid	endyy	srcna	srcbr	prep	src0	src1	src12	src2	src3	src4	psrc4	org	cona	sysdat	usno
06101	105	410800000	102	農民健保業務	農民健保業務	1	11	001	001	06						1010816	BGT
06101	105	410801000	102	農民健保	農民健保	1	11	001	001	06	01					1010816	BGT
06101	105	410801001	102	農民健康保險	農民健康保險	1	11	001	001	06	01					1010816	BGT
06101	105	317102011	092	臺北創新實驗室	臺北創新實驗室	1	7	001	001	08	01					1020315	BGT
06101	105	323902003	102	臺北市大稻埕創意生活產業發展計畫	臺北市大稻埕創意生活產業發展	1	8	001	001	07	01					1020508	BGT
06101	105	323902004	102	臺北市溫泉湯花多元發展計畫輔導推廣專案	臺北市溫泉湯花多元發展計畫輔	1	8	001	001	07	01					1020322	BGT
06101	105	317102012	092	臺北市南港茶園導覽解說牌設置工程	臺北市南港茶園導覽解說牌設置	1	7	001	001	08	01					1020326	BGT
06101	105	317102013	092	木柵茶推廣中心建物維護及步道拓寬工程	木柵茶推廣中心建物維護及步道	1	7	001	001	08	01					1020716	BGT
06101	105	317102019	092	臺北城市花園計畫綠化設置及維護工程	臺北城市花園計畫綠化設置及維	1	7	001	001	08	01					1020417	BGT
06101	105	323902005	102	邁向世界設計之都-臺北市數位內容產業整備接軌輔導案	邁向世界設計之都-臺北市數位內	1	8	001	001	07	01					1020513	BGT
06101	105	313902000	092	接受中央各部會補助業務支出	接受中央各部會補助業務支出	1	7	001	001	10	02					1010814	BGT
06103	105	317102029	103	花卉批發市場拆除工程	花卉批發市場拆除工程	1	7	003	003	03	01					1020812	BGT
06101	105	323902006	092	辦理菸品健康福利捐供私劣菸品查緝工作計畫	辦理菸品健康福利捐供私劣菸品	1	8	001	001	07	01					1030109	BGT
06101	105	323902007	092	地下水管制區縣市政府違法水井處置計畫	地下水管制區縣市政府違法水井	1	8	001	001	07	01					1030109	BGT
06103	105	317102030	103	大龍社區及市場重建工程	大龍社區及市場重建工程	1	7	003	003	03	01					1040427	BGT
06103	105	317102031	103	第二果菜批發市場地下3樓停車場購置價款	第二果菜批發市場地下3樓停車場	1	7	003	003	03	01					1030418	BGT
06103	105	317102032	103	萬大第一果菜及魚類批發市場改建規劃	萬大第一果菜及魚類批發市場改建	1	7	003	003	03	01					1030418	BGT
06103	105	317102033	103	第二果菜批發市場增設緊急供電系統工程	第二果菜市場增設緊急供電系統	1	7	003	003	03	01					1030313	BGT
06102	105	317102018	103	動物收容舍環境設施修繕工程	動物收容舍環境設施修繕工程	1	7	002	002	05	01					1030424	BGT
06101	105	317102020	104	木柵茶推廣中心環山步道新建及右側山門修繕工程	木柵茶推廣中心環山步道新建及程	1	7	001	001	08	01					1040326	BGT
06103	105	310101009	092	河濱一商場無權占用土地租金	河濱一商場無權占用土地租金	1	7	003	003	01	01					1030627	BGT
06101	105	317102021	105	田園城市農園設置及維護	田園城市農園設置及維護	1	7	001	001	08	01					1040507	BGT
06101	105	317102022	105	瓶蓋工廠歷史建物(6棟)整修工程	瓶蓋工廠歷史建物(6棟)整修工程	1	7	001	001	08	01					1040326	BGT
06101	105	317102030	104	臺北市內湖科技園區服務大樓二樓會議廳地板更新工程		1	7	001	001	08	01					1040416	BGT
06102	105	317102019	103	辦公廳舍周邊環境改善工程	辦公廳舍周邊環境改善工程	1	7	002	002	05	01					1040420	BGT
06102	105	317102020	092	臺北市動物之家附屬狗運動公園設置工程	臺北市動物之家附屬狗運動公園設	1	7	002	002	05	01					1040507	BGT
06102	105	317102021	092	臺北市公園設置狗活動柵欄隔間工程(分批辦理)	臺北市公園設置狗活動柵欄隔間工	1	7	002	002	05	01					1040420	BGT
06102	105	317102022	092	動物之家永久建築物改建工程	動物之家永久建築物改建工程	1	7	002	002	05	01					1040420	BGT
06103	105	317102034	103	臨時辦公室裝修工程	臨時辦公室裝修工程	1	7	003	003	03	01					1040427	BGT
06103	104	313901002	104	臺北市公有信義市場改建引進民間參與可行性評估案	臺北市公有信義市場改建引進民間	1	07	003	003	06	02					1040512	BGT
06103	104	318302001	104	辦理菸品健康福利捐供私劣菸品查緝工作計畫	辦理菸品健康福利捐供私劣菸品查	1	07	003	003	07	01					1040512	BGT
06101	104	323901000	104	接受中央政府補助業務支出	接受中央政府補助業務支出	1	08	001	001	07	02					1040522	BGT
06101	104	323901001	104	內湖科技園區產業支援設施用地開發先期規劃及招商作業	內湖科技園區產業支援設施用地開	1	08	001	001	07	02					1040522	BGT
06101	104	328301000	104	接受中央政府補助建設支出	接受中央政府補助建設支出	1	08	001	001	12	02					1040522	BGT
06101	104	328301001	104	臺北市南港瓶蓋工廠再生計畫先期規劃(含設計監造)案	臺北市南港瓶蓋工廠再生計畫先期	1	08	001	001	12	02					1040527	BGT
06101	104	313902001	104	104年度休閒農場查核及輔導管理計畫	104年度休閒農場查核及輔導管理	1	07	001	001	10	02					1040527	BGT
06101	104	313902002	104	103年度強化植物有害生物防範措施	103年度強化植物有害生物防範措	1	07	001	001	10	02					1040527	BGT
06101	104	313902003	104	104年度強化植物有害生物防範措施	104年度強化植物有害生物防範措	1	07	001	001	10	02					1040527	BGT
06101	105	317102023	092	學校示範屋頂垂直農園工程	學校示範屋頂垂直農園工程	1	7	001	001	08	01					1040723	BGT
06104	105	347103000	092	交通及運輸設備	交通及運輸設備	1	10	002	002	06	02					1040817	BGT0
05113	104	227102034	098	票房工作區暨哺乳室修繕工程	票房工作區暨哺乳室修繕工程	1	6	007	007	03	01		009			0980423	BGT
05113	104	227102035	098	萬壽路園界等圍籬修繕工程	萬壽路園界等圍籬修繕工程	1	6	007	007	03	01		010			0980722	BGT
05113	104	227102036	098	保養場屋頂漏水、牆面樑柱油漆及排水溝疏通工程	保養場屋頂漏水、牆面樑柱油漆及	1	6	007	007	03	01		011			0980423	BGT
05113	104	227102037	098	教育中心電梯汰換工程	教育中心電梯汰換工程	1	6	007	007	03	01		012			0980423	BGT
05113	104	227102038	098	園內電視牆廣告塔興建工程	園內電視牆廣告塔興建工程	1	6	007	007	03	01		015			0980423	BGT
05113	104	227102039	098	新建園區二期工程-全園遊客參觀疏運工程規劃	新建園區二期工程-全園遊客參觀	1	6	007	007	03	01					0980423	BGT
05113	104	227102040	098	園區環境影響評估	園區環境影響評估	1	6	007	007	03	01		014			0980423	BGT
