bgtyy	srcid	srcna	srcbr	sysdat	usno
104	000100000	一般行政	一般行政		
104	000101000	行政管理	行政管理		
104	002300000	地籍管理	地籍管理		
104	002301000	土地登記測量管理	土地登記測量管理		
104	002302000	地籍登記測量及管理	地籍登記測量及管理		
104	002303000	地籍測量	地籍測量		
104	002500000	衛生業務	衛生業務		
104	002501000	公共衛生	公共衛生		
104	002600000	訓練業務	訓練業務		
104	002601000	在職訓練	在職訓練		
104	002602000	在職研習	在職研習		
104	002700000	兒童托養業務	兒童托養業務		
104	002701000	兒童調查及管理	兒童調查及管理		
104	002800000	區政業務	區政業務		
104	002801000	區政管理	區政管理		
104	003200000	戶政業務	戶政業務		
104	003201000	戶籍業務	戶籍業務		
104	003202000	戶籍登記及管理	戶籍登記及管理		
104	003300000	垃圾焚化業務	垃圾焚化業務		
104	003301000	焚化規劃及操作	焚化規劃及操作		
104	003400000	公共關係業務	公共關係業務		
104	003401000	公共關係	公共關係		
104	003500000	院民教養	院民教養		
104	003501000	院民社會工作	院民社會工作		
104	003504000	院民安養服務	院民安養服務	1030312	BGT0
104	003600000	保健醫療業務	保健醫療業務		
104	003601000	保健醫療	保健醫療		
104	003700000	債務付息	債務付息		
104	003701000	債務付息	債務付息		
104	003800000	債務管理	債務管理		
104	003801000	債務管理	債務管理		
104	003900000	接受補助業務支出	接受補助業務支出		
104	003901000	接受中央政府補助業務支出	接受中央政府補助業務支出		
104	003902000	接受中央各部會補助業務支出	接受中央各部會補助業務支出		
104	004100000	第一預備金	第一預備金		
104	004101000	第一預備金	第一預備金		
104	004200000	公務人員退休及撫卹給付	公務人員退休及撫卹給付		
104	004201000	公務人員退休及撫卹給付	公務人員退休及撫卹給付		
104	004300000	公務人員福利互助補助	公務人員福利互助補助		
104	004301000	公務人員福利互助補助	公務人員福利互助補助		
104	004400000	公務人員(工)待遇準備	公務人員(工)待遇準備		
104	004401000	公務人員(工)待遇準備	公務人員(工)待遇準備		
104	004900000	國家賠償金	國家賠償金		
104	004901000	國家賠償金	國家賠償金		
104	005000000	災害準備金	災害準備金		
104	005001000	災害準備金	災害準備金		
104	005600000	第二預備金	第二預備金		
104	005601000	第二預備金	第二預備金		
104	007100000	建築及設備	建築及設備		
104	007101000	土地購置	土地購置		
104	007102000	營建工程	營建工程		
104	007103000	交通及運輸設備	交通及運輸設備		
104	007104000	其他設備	其他設備		
104	007200000	交通改善工程	交通改善工程		
104	007201000	交通改善工程	交通改善工程		
104	007500000	道路橋樑工程	道路橋樑工程		
104	007501000	道路及橋樑工程	道路及橋樑工程		
104	007600000	環境衛生及河川工程	環境衛生及河川工程		
104	007601000	衛生下水道工程	衛生下水道工程		
104	007602000	河川工程	河川工程		
104	007603000	垃圾處理工程	垃圾處理工程		
104	007604000	水土保持工程	水土保持工程		
104	007605000	雨水下水道工程	雨水下水道工程		
104	007700000	公園綠化及風景區工程	公園綠化及風景區工程		
104	007701000	公園及綠化工程	公園及綠化工程		
104	007703000	風景區設施工程	風景區設施工程		
104	007704000	山坡地遊憩設施工程	山坡地遊憩設施工程		
104	007800000	路燈工程	路燈工程		
104	007801000	路燈整建及新設工程	路燈整建及新設工程		
104	007900000	臺北水源特定區設施	臺北水源特定區設施		
104	007901000	臺北水源特定區設施	臺北水源特定區設施		
104	008000000	捷運系統工程	捷運系統工程		
104	008001000	捷運系統工程	捷運系統工程		
104	008200000	用地補償	用地補償		
104	008201000	公共用地補償	公共用地補償		
104	008300000	接受補助建設支出	接受補助建設支出		
104	008301000	接受中央政府補助建設支出	接受中央政府補助建設支出		
104	008302000	接受中央各部會補助建設支出	接受中央各部會補助建設支出		
104	008400000	纜車系統	纜車系統	0970802	BGT
104	008401000	貓空纜車系統	貓空纜車系統	0970802	BGT
104	009000000	營業基金	營業基金		
104	009001000	動產質借處資本	動產質借處資本		
104	009002000	公共汽車管理處資本	公共汽車管理處資本		
104	009003000	臺北大眾捷運股份有限公司資本	臺北大眾捷運股份有限公司資本		
104	009004000	臺北自來水事業處資本	臺北自來水事業處資本		
104	009005000	臺北都會區大眾捷運系統土地開發基金資本	臺北都會區大眾捷運系統土地開發		
104	009100000	作業基金	作業基金		
104	009101000	公教人員購置住宅貸款基金	公教人員購置住宅貸款基金		
104	009102000	市有財產開發基金	市有財產開發基金		
104	009103000	共同管道基金	共同管道基金		
104	009104000	醫療基金	醫療基金		
104	009105000	實施平均地權基金	實施平均地權基金		
104	009106000	住宅基金	住宅基金	0990628	BGT
104	009107000	收費停車場基金	收費停車場基金		
104	009108000	都市更新基金	都市更新基金		
104	009109000	市場發展基金	市場發展基金		
104	009110000	臺北市臺北藝術中心基金	臺北市臺北藝術中心基金		
104	009111000	臺北市文化設施發展基金	臺北市文化設施發展基金	0970717	BGT
104	009112000	臺北市社會福利發展基金	臺北市社會福利發展基金	0970717	BGT
104	009113000	校務發展基金	校務發展基金	0970717	BGT
104	009200000	投資支出	投資支出		
104	009201000	臺灣電力公司股金	臺灣電力公司股金		
104	009202000	臺北畜產運銷公司股金	臺北畜產運銷公司股金		
104	009203000	臺北漁產運銷公司股金	臺北漁產運銷公司股金		
104	009204000	臺灣肥料公司股金	臺灣肥料公司股金		
104	009205000	臺北農產公司股金	臺北農產公司股金		
104	009206000	臺大創新育成公司股金	臺大創新育成公司股金		
104	009207000	桃園大眾捷運股份有限公司股金	桃園大眾捷運股份有限公司股金	0990402	BGT
104	009208000	臺北花卉產銷股份有限公司股金	臺北花卉產銷股份有限公司股金	1010425	BGT
104	10	一般政務支出			
104	11	政權行使支出			
104	12	行政支出			
104	13	民政支出			
104	14	財務支出			
104	20	教育科學文化支出			
104	21	教育支出			
104	22	文化支出			
104	30	經濟發展支出			
104	31	農業支出			
104	32	工業支出			
104	33	交通支出			
104	34	其他經濟服務支出			
104	40	社會福利支出			
104	41	社會保險支出			
104	42	社會救助支出			
104	43	福利服務支出			
104	44	國民就業支出			
104	45	醫療保健支出			
