bgtyy	statcd	statna	obj	stdcd	sysdat	usno
105	109	聘用人員待遇	0103		0960523	
105	110	約僱人員待遇	0103		0960523	
105	112	技工工友待遇	0104		0960523	
105	116	員工特殊功勳獎金	0106		0960523	
105	125	員工上下班交通費	0107		0960523	BGT
105	128	員工福利互助補助	0107		0960523	BGT
105	130	員工加班費	0108		0960523	BGT
105	137	約聘僱人員提撥金	0109		0960523	BGT
105	138	技工及工友提撥金	0109		0960523	BGT
105	139	員工健保費補助	0110		0960523	BGT
105	144	員工勞保費補助	0110		0960523	BGT
105	208	郵資	0204			
105	209	電信費	0204			
105	210	租用素地之租金	0205		0960523	
105	211	車輛租金	0206		0960523	
105	213	其他動產及不動產租金	0206		0960523	
105	214	稅捐	0207		0960523	
105	215	規費	0207		0960523	
105	219	法定責任保險(如第三人責任險、強制責任險)	0208		0960523	
105	220	對業務活動保險	0208		0960523	
105	229	車輛用油	0210		0960523	
105	231	外勤誤餐費	0211		0960523	
105	232	外勤交通費	0211		0960523	
105	236	委聘律師公費	0214		0960523	
105	240	聘請學者專家出席費	0214		0960523	
105	242	講座鐘點費	0214		0960523	
105	244	考試及其他作業費	0214		0960523	
105	245	評鑑或裁判費	0214		0960523	
105	247	演出費	0214		0960523	
105	249	材料	0215		0960523	
105	250	消耗品	0215		0960523	
105	251	非消耗品	0215		0960523	
105	253	委託機構或團體進行學術研究	0216		0960523	
105	254	委託機構或團體代辦相關業務	0216		1020703	
105	256	電腦耗材及維修	0218		0960523	
105	257	員工文康活動費	0220		1040427	
105	259	勞力外包	0220		0970415	BGT
105	261	印刷	0220		0960523	
105	263	廣告	0220		0960523	
105	265	禮品	0220		0960523	
105	266	餐費	0220		0960523	
105	267	環境佈置	0220		0960523	
105	268	環境清潔	0220		0960523	
105	271	訴訟費(律師費除外)	0220		0960523	
105	272	雜支	0220		0960523	
105	273	團體慰勞或獎勵費	0220		0960523	
105	279	車輛養護費	0223		0960523	
105	281	公共設施養護費	0224		0960523	
105	282	特定儀器或設備養護費	0224		0960523	
105	283	國內市外出差旅費	0225		0960523	
105	286	公物運輸、裝卸及通行費	0228		0960523	
105	289	其他資訊服務	0230		0960523	BGT
105	292	勞務服務費	0232		0960523	BGT
105	293	專業服務費	0232		0960523	BGT
105	322	道路	0303		0960523	BGT
105	323	雨水下水道	0303		0960523	BGT
105	345	機械設備	0304		0960523	
105	355	資訊硬體設備	0306		0960523	
105	357	資訊軟體設備	0306		0960523	
105	361	事務設備	0307		0960523	BGT
105	402	對民間團體之捐助	0401		0960523	
105	412	對非屬公務人員給予之檢舉或獎勵金	0405		0960523	
105	417	社會福利津貼(如老年農民福利津貼)	0406		0960523	
105	418	對農、勞、文化工作之濟助	0406		0960523	
105	419	對(中)低收入戶之濟助	0406		0960523	BGT
105	420	對傷殘濟助	0406		0960523	
105	424	對特殊境遇婦女、危機家庭兒少之濟助	0406		0960523	BGT
105	426	市民急難救助	0406		0960523	
105	428	收容及輔育機構就養費	0407		0960523	
105	440	對個人之補助及捐助	0414		0960523	BGT
105	443	其他	0414		1030417	BGT0
105	923	道路(計畫型)	0303		0960523	BGT
106	101	代表待遇	0101		0960523	
106	102	助理待遇	0101		0960523	
106	104	職員待遇	0102		0960523	
106	106	警察待遇	0102		0960523	
106	107	教師待遇	0102		0960523	
106	109	聘用人員待遇	0103		0960523	
106	110	約僱人員待遇	0103		0960523	
106	112	技工工友待遇	0104		0960523	
106	114	臨時工工資	0105		0960523	
106	116	員工特殊功勳獎金	0106		0960523	
106	117	消防勤務繁重加給	0107		1040309	BGT
106	118	測量工作費	0107		1030701	BGT0
106	120	員工結婚補助	0107		0960523	
106	125	員工上下班交通費	0107		0960523	BGT
106	128	員工福利互助補助	0107		0960523	BGT
106	129	因公傷殘亡慰問金	0107		0960523	BGT
106	130	員工加班費	0114		1050419	BGT
106	131	府會聯絡員加班費	0114		1050630	BGT
106	133	政務人員提撥金	0109		0960523	BGT
106	134	公務人員提撥金	0109		0960523	BGT
106	136	教育人員提撥金	0109		0960523	BGT
106	137	約聘僱人員提撥金	0109		0960523	BGT
106	138	技工及工友提撥金	0109		0960523	BGT
106	139	員工健保費補助	0110		0960523	BGT
106	141	民意代表健保費補助	0110		0960523	BGT
106	142	職員公保費補助	0110		0970425	BGT
106	144	員工勞保費補助	0110		0960523	BGT
106	147	統籌編列之員工待遇準備	0111		0960523	BGT
106	149	技工、工友、駕駛及駐衛警退職給付	0112		0960523	BGT
106	150	退休、資遣所支領之舊制退撫給付	0112		0960523	BGT
106	151	員工值班費	0114		1050419	BGT
106	152	夜點費	0114		1050419	BGT
106	201	員工統籌業務費	0201		0960523	BGT
106	202	員工修習學分、學位補助	0202		0960523	BGT
106	203	員工赴訓練機構研習教材、差旅費	0202		0960523	
106	204	水費	0203		0960523	
106	205	電費	0203		0960523	
106	206	煤氣及其他機具動力費	0203		0960523	
106	207	數據或網路通訊費	0204		0960523	
106	208	郵資	0204			
106	209	電信費	0204			
106	210	租用素地之租金	0205		0960523	
106	211	車輛租金	0206		0960523	
106	212	事務設備租金	0206		0960523	
106	213	其他動產及不動產租金	0206		0960523	
106	214	稅捐	0207		0960523	
106	215	規費	0207		0960523	
106	219	法定責任保險(如第三人責任險、強制責任險)	0208		0960523	
106	220	對業務活動保險	0208		0960523	
106	221	鄰長投保意外險	0208		0960523	
106	222	志工投保意外險	0208		0960523	
106	223	臨時人員勞健保	0208		0960523	
106	224	對財產保險	0208		0960523	
